name,lat,lon,LMV,MAV
Mohammad Ibrahimpur,28.5798201,78.7958556,?75-95,?240-340
Dumberwadi,19.24404,74.013274,?100-130,?350-450
Sonho,25.924072,84.967898,?95-120,?320-420
Pokhraira,26.055956,85.182733,?105-135,?340-440
Belon,28.1859646,78.3630407,?100-130,?350-450
Hadawa,27.08318,83.232649,?95-120,?320-420
Chhajarsi,28.70178,77.621477,?110-140,?350-450
Bara,26.6293177,81.3336137,?95-120,?320-420
Asroga,26.18151,81.56264,?90-120,?300-400
Kherwasani,24.122464,80.599361,?85-110,?280-380
Bogalur,9.398195,78.71394,?70-90,?220-320
Dhoki,19.15597,74.41116,?80-110,?250-350
Majhgawan,23.48399,80.30481,?85-110,?280-380
Pathoroundi,23.24908,82.05883,?90-120,?300-400
Shahdol,23.28186,81.429282,?85-110,?280-380
Chhapra,23.657222,76.614862,?80-110,?250-350
Rojwas,23.330918,76.175973,?75-95,?240-340
Dattigaon,22.741519,74.836537,?85-110,?280-380
Methwada,22.6731595,75.545744,?80-110,?250-350
Muthojipet,18.002244,79.903564,?75-95,?240-340
Amdi,26.3827777,80.8863888,?100-130,?350-450
Pargaon,18.63166,75.6977,?85-110,?280-380
Padalshingi,19.3181,75.7487,?80-110,?250-350
Bhokarwadi Maliwadi,19.60083,75.6152,?75-95,?240-340
Jagtara,20.604749,81.419576,?85-110,?280-380
Mashora,19.662176,81.658696,?80-110,?250-350
Badayiguda,19.161402,81.98472,?75-95,?240-340
Saliwada,80.030222,23.105109,?70-90,?220-320
Aksada,26.7024838,82.6745948,?95-120,?320-420
Chhapwa,27.2644,83.3643,?100-130,?350-450
Nainsar,26.9209,83.297,?95-120,?320-420
Mohtara,23.418277,80.078098,?85-110,?280-380
Odhaki Paipkhar,24.404862,81.079578,?90-120,?300-400
Gollaprolu,17.1387,82.2718,?85-110,?280-380
Mathur,13.1766,80.2449,?70-90,?220-320
Dilawarpur,19.0990474,78.2133991,?85-110,?280-380
Mandana,24.966405,75.93462,?90-120,?300-400
Kair Fakir ki Dhani,26.630978,71.205575,?85-110,?280-380
Pidhi,26.3395,82.244267,?85-110,?280-380
Aindhi,26.245278,81.593749,?90-120,?300-400
Sabli,28.1602222,80.1005555,?105-135,?340-440
Patgaon,26.565182,90.238792,?110-140,?350-450
Kannolli,16.786827,75.739668,?90-120,?300-400
Harval,67.7752043,18.82095,?120-150,?400-500
Talmod,17.826227,76.74068,?85-110,?280-380
Phulwadi,17.79978,76.193308,?80-110,?250-350
Boharipar (Khursi),23.047864,79.907251,?85-110,?280-380
Sehatganj,23.257753,77.638119,?90-120,?300-400
Husnapur,20.551197,78.039108,?85-110,?280-380
Belekeri,14.710895,74.2936251,?75-95,?240-340
Holegadde,14.3593904,74.419155,?70-90,?220-320
Shirur,13.9334681,74.5966233,?65-85,?200-300
Sali Bamandanga,23.629195,88.36003,?115-145,?360-460
Nawabganj (Adampur)only entry  exit lane plaza at Allahabad Bypass,25.558856,81.772125,?95-120,?320-420
Ashiv,18.127774,76.358179,?80-110,?250-350
Namkhna,21.7575,88.233611,?110-140,?350-450
Mudhipar,27.2038,77.5011,?100-130,?350-450
Bhojpuri,21.950763,82.061806,?85-110,?280-380
Haladgaon,20.857818,78.876369,?90-120,?300-400
Vadodara,22.96882,72.65872,?90-120,?300-400
